,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time
64,trainjob-f3629702-8049-45b7-b928-62db633179f7-master-0   1/1     Running   0          6s,4,1000m,0.02,128,2,,50.838512659072876
65,trainjob-f8dadf87-88ca-461d-afae-f7606bc92bfd-master-0   1/1     Running   0          5s,4,1000m,0.02,128,3,,50.4004647731781
66,trainjob-430383e0-3f88-43d4-93c6-7dc052c65c42-master-0   1/1     Running           0          6s,4,1000m,0.02,256,1,,48.11285161972046
67,trainjob-35872e54-1a38-4548-a86d-dc854be97c43-master-0   1/1     Running   0          6s,4,1000m,0.02,256,2,,48.174856662750244
68,trainjob-2cc9e03e-d48b-40c0-8a7e-9cf2626a6703-master-0   1/1     Running   0          6s,4,1000m,0.02,256,3,,47.27691078186035
69,trainjob-7190f351-ab9c-478e-86f1-c30759186c04-master-0   1/1     Running           0          7s,4,1000m,0.02,512,1,,48.811225175857544
70,trainjob-046b760b-423f-43f0-b4c4-746d30a8b147-master-0   1/1     Running   0          5s,4,1000m,0.02,512,2,,45.527961015701294
71,trainjob-615c9aff-aec3-4d25-8cbe-3312731ff560-master-0   1/1     Running           0          5s,4,1000m,0.02,512,3,,47.60366439819336
72,trainjob-ea85d503-9881-4e01-9c7a-d1aea0b075d9-master-0   1/1     Running           0          6s,4,1000m,0.04,128,1,,49.97306799888611
73,trainjob-c69b9317-de13-405a-ac96-e73fb25489ba-master-0   1/1     Running   0          6s,4,1000m,0.04,128,2,,51.58288073539734
74,trainjob-1e607465-2b0c-4519-b6a6-19e8568049cd-master-0   1/1     Running   0          5s,4,1000m,0.04,128,3,,50.00400757789612
75,trainjob-f9d9ae6d-0895-40ed-90ee-853dc8a624d7-master-0   1/1     Running           0          7s,4,1000m,0.04,256,1,,47.41136837005615
76,trainjob-6fe68b7d-ce11-4c75-8665-ce9b32c31930-master-0   1/1     Running           0          5s,4,1000m,0.04,256,2,,46.90005874633789
77,trainjob-ab3e2ae8-14d2-4d05-b952-480480bfbf6b-master-0   1/1     Running   0          5s,4,1000m,0.04,256,3,,47.41839051246643
78,trainjob-fc40db72-0ded-493e-bbe0-57984fb35b32-master-0   1/1     Running   0          8s,4,1000m,0.04,512,1,,48.815765619277954
79,trainjob-0387e4c5-d20a-4853-befd-33edc7e7c46f-master-0   1/1     Running   0          7s,4,1000m,0.04,512,2,,47.889010190963745
80,trainjob-e8925f11-0801-46b1-850e-8684f7618cab-master-0   1/1     Running   0          5s,4,1000m,0.04,512,3,,46.79515051841736
81,trainjob-38a7c40a-295f-42aa-a98b-71a46a764774-master-0   1/1     Running           0          7s,3,1250m,0.01,128,1,,54.60270690917969
82,trainjob-a3018550-1329-4ed5-a749-7caeb1bb26fd-master-0   1/1     Running    0          5s,3,1250m,0.01,128,2,,52.78736925125122
83,trainjob-28c0dd9a-3470-4f47-897e-a3f0a7315a00-master-0   1/1     Running   0          6s,3,1250m,0.01,128,3,,54.80747032165527
84,trainjob-1c7359d1-88ce-48ec-89cd-abc8e644d6cf-master-0   1/1     Running           0          7s,3,1250m,0.01,256,1,,49.87578725814819
85,trainjob-0f5d94a4-cd2b-4c63-822d-bd7b776e37c0-master-0   1/1     Running   0          8s,3,1250m,0.01,256,2,,51.076491355895996
86,trainjob-24f27da1-cc5a-4e54-839f-04a07064c67f-master-0   1/1     Running           0          6s,3,1250m,0.01,256,3,,49.298598289489746
87,trainjob-1fbc5020-9e42-424a-841c-418f9cfb6017-master-0   1/1     Running           0          7s,3,1250m,0.01,512,1,,48.60896944999695
88,trainjob-24b90456-b4c9-4bd6-98b5-18013a918d50-master-0   1/1     Running           0          6s,3,1250m,0.01,512,2,,49.07221293449402
89,trainjob-abe1847d-9433-4708-8890-9ba54f6e344a-master-0   1/1     Running   0          6s,3,1250m,0.01,512,3,,49.282742977142334
90,trainjob-84eee1ce-9a8f-4464-b764-6fa6c80f77dc-master-0   1/1     Running           0          9s,3,1250m,0.02,128,1,,53.968223094940186
91,trainjob-da979331-e06a-4530-adca-41e33f6c3b83-master-0   1/1     Running   0          5s,3,1250m,0.02,128,2,,53.29080772399902
92,trainjob-79e3c422-b134-4699-847b-e5863af7e672-master-0   1/1     Running   0          5s,3,1250m,0.02,128,3,,52.112125873565674
93,trainjob-40d41e40-5e3c-4d48-be09-86eb0ef59fa6-master-0   1/1     Running           0          6s,3,1250m,0.02,256,1,,49.09726643562317
94,trainjob-e8dcb931-ce3c-4e8c-800f-0296f3b1363a-master-0   1/1     Running   0          7s,3,1250m,0.02,256,2,,50.218161821365356
95,trainjob-962e951c-ff4f-445b-a95d-c2adea187efa-master-0   1/1     Running   0          5s,3,1250m,0.02,256,3,,49.0996196269989
96,trainjob-f74793ef-0289-4297-9e14-395dc8fe8c9b-master-0   1/1     Running           0          7s,3,1250m,0.02,512,1,,49.513357162475586
97,trainjob-0a86537b-c433-4436-8b48-791b2396daa2-master-0   1/1     Running   0          6s,3,1250m,0.02,512,2,,48.999738931655884
98,trainjob-1a7d64df-ef2d-489a-a696-58c7544bab2d-master-0   1/1     Running   0          6s,3,1250m,0.02,512,3,,50.493135929107666
99,trainjob-96c3b221-9d4d-417d-bcdc-d13f83bb5244-master-0   1/1     Running           0          6s,3,1250m,0.04,128,1,,52.6055223941803
100,trainjob-1c5c3088-92ac-4b71-8af2-73e02d5aa31b-master-0   1/1     Running   0          5s,3,1250m,0.04,128,2,,53.11606550216675
101,trainjob-a7c082d3-7a07-4c71-9147-b990691c5627-master-0   1/1     Running           0          5s,3,1250m,0.04,128,3,,54.751394510269165
102,trainjob-c6522f5e-218b-44c5-adf0-0c8eaed08e68-master-0   1/1     Running           0          7s,3,1250m,0.04,256,1,,47.98579168319702
103,trainjob-3d71ee50-698c-49da-9a99-e53a77506cb0-master-0   1/1     Running   0          5s,3,1250m,0.04,256,2,,48.88189387321472
104,trainjob-cd339b6f-d46a-4fd0-b260-65e8bc4479ca-master-0   1/1     Running   0          5s,3,1250m,0.04,256,3,,48.159486055374146
105,trainjob-2cf3269d-70d3-451e-b18d-30c4dd986e3e-master-0   1/1     Running           0          6s,3,1250m,0.04,512,1,,48.549553871154785
106,trainjob-39f64e0f-af04-413a-8873-0f5fc2464c25-master-0   1/1     Running   0          5s,3,1250m,0.04,512,2,,48.52624011039734
107,trainjob-eebf24d5-7ea8-4458-8404-9d029e60f067-master-0   1/1     Running   0          5s,3,1250m,0.04,512,3,,48.287346601486206
108,trainjob-c9b1b86d-35b1-4fb1-9888-e006f003f669-master-0   1/1     Running           0          7s,3,1125m,0.01,128,1,,59.3540723323822
109,trainjob-9d5b3219-0534-454a-b31c-6592ab7b2ddd-master-0   1/1     Running           0          6s,3,1125m,0.01,128,2,,61.09428143501282
110,trainjob-095bc544-6325-4f7f-8098-7420f58abca9-master-0   1/1     Running   0          6s,3,1125m,0.01,128,3,,59.21424579620361
111,trainjob-abebe106-9b72-41a4-a683-76ee1ee4a96e-master-0   1/1     Running           0          6s,3,1125m,0.01,256,1,,54.89908766746521
112,trainjob-fdf45448-6798-4943-bb0f-afacc8f82aba-master-0   1/1     Running           0          5s,3,1125m,0.01,256,2,,57.182679176330566
113,trainjob-92ed63f8-3aec-4448-9e36-64c5db72c4df-master-0   1/1     Running           0          6s,3,1125m,0.01,256,3,,54.89127564430237
114,trainjob-36a8948d-b6f7-42cd-a24a-5e71c7b90124-master-0   1/1     Running           0          7s,3,1125m,0.01,512,1,,56.00088095664978
115,trainjob-95a85c31-7b8c-494a-ae2f-a3b2ebf0c42a-master-0   1/1     Running   0          6s,3,1125m,0.01,512,2,,54.3169424533844
116,trainjob-bb901610-3e39-4aa6-b8b6-5e03edcb44c9-master-0   1/1     Running   0          5s,3,1125m,0.01,512,3,,56.07561898231506
117,trainjob-8ceb4bf6-7591-4c94-8ed5-54a385e344d9-master-0   1/1     Running           0          7s,3,1125m,0.02,128,1,,58.84261775016785
118,trainjob-1fb22e68-fc61-4e6e-ac28-5fb371e947e2-master-0   1/1     Running   0          5s,3,1125m,0.02,128,2,,60.790522813797
119,trainjob-301e778c-d33c-44fe-8ad0-273de6b2feb1-master-0   1/1     Running   0          6s,3,1125m,0.02,128,3,,59.16895246505737
120,trainjob-262335f3-9455-4f5e-b592-519fe143148c-master-0   1/1     Running           0          7s,3,1125m,0.02,256,1,,56.00678586959839
121,trainjob-d98ad370-bfbe-4d43-988d-1e7da692e37b-master-0   1/1     Running           0          6s,3,1125m,0.02,256,2,,54.07841181755066
122,trainjob-108f95ba-e74b-4345-8dc7-39de4efd5a2c-master-0   1/1     Running   0          5s,3,1125m,0.02,256,3,,55.882285594940186
123,trainjob-a26c30ef-732e-42c0-aee9-5cbd12c80c45-master-0   1/1     Running           0          6s,3,1125m,0.02,512,1,,54.573553800582886
124,trainjob-b497cb44-01d3-4163-8795-4ce6adb958a1-master-0   1/1     Running           0          6s,3,1125m,0.02,512,2,,54.79182553291321
125,trainjob-8f6beb20-e559-460a-b3a7-018d11ebb7d7-master-0   1/1     Running   0          5s,3,1125m,0.02,512,3,,54.707404136657715
126,trainjob-b7cec031-756f-4b50-ad74-e0057b62467d-master-0   1/1     Running           0          7s,3,1125m,0.04,128,1,,59.67254567146301
127,trainjob-e8363cef-c230-4fa0-93fd-f90b22445edd-master-0   1/1     Running   0          5s,3,1125m,0.04,128,2,,59.62335515022278
128,trainjob-059f92c2-4166-4dcb-8195-54956e85b06f-master-0   1/1     Running   0          5s,3,1125m,0.04,128,3,,60.21102499961853
129,trainjob-7f9c8290-d2a0-40ad-8c76-211d02aa09eb-master-0   1/1     Running           0          6s,3,1125m,0.04,256,1,,54.38711881637573
130,trainjob-fb71a2c7-cf88-4e48-84a9-56832e001645-master-0   1/1     Running           0          5s,3,1125m,0.04,256,2,,53.60357689857483
131,trainjob-64170f49-0aae-4242-b17b-48fd2f26f3ff-master-0   1/1     Running   0          6s,3,1125m,0.04,256,3,,54.329378843307495
132,trainjob-e6d2f57f-a834-40e7-9d1f-b02ff17885c1-master-0   1/1     Running           0          6s,3,1125m,0.04,512,1,,53.886152505874634
133,trainjob-be5c6a99-bbab-49f7-b6e3-a03733f02a10-master-0   1/1     Running           0          5s,3,1125m,0.04,512,2,,55.77909755706787
