jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-430383e0-3f88-43d4-93c6-7dc052c65c42-master-0   1/1     Running           0          6s,4,1000m,0.02,256,1,
trainjob-35872e54-1a38-4548-a86d-dc854be97c43-master-0   1/1     Running   0          6s,4,1000m,0.02,256,2,
trainjob-2cc9e03e-d48b-40c0-8a7e-9cf2626a6703-master-0   1/1     Running   0          6s,4,1000m,0.02,256,3,
trainjob-7190f351-ab9c-478e-86f1-c30759186c04-master-0   1/1     Running           0          7s,4,1000m,0.02,512,1,
trainjob-046b760b-423f-43f0-b4c4-746d30a8b147-master-0   1/1     Running   0          5s,4,1000m,0.02,512,2,
trainjob-615c9aff-aec3-4d25-8cbe-3312731ff560-master-0   1/1     Running           0          5s,4,1000m,0.02,512,3,
trainjob-ea85d503-9881-4e01-9c7a-d1aea0b075d9-master-0   1/1     Running           0          6s,4,1000m,0.04,128,1,
trainjob-c69b9317-de13-405a-ac96-e73fb25489ba-master-0   1/1     Running   0          6s,4,1000m,0.04,128,2,
trainjob-1e607465-2b0c-4519-b6a6-19e8568049cd-master-0   1/1     Running   0          5s,4,1000m,0.04,128,3,
trainjob-f9d9ae6d-0895-40ed-90ee-853dc8a624d7-master-0   1/1     Running           0          7s,4,1000m,0.04,256,1,
trainjob-6fe68b7d-ce11-4c75-8665-ce9b32c31930-master-0   1/1     Running           0          5s,4,1000m,0.04,256,2,
trainjob-ab3e2ae8-14d2-4d05-b952-480480bfbf6b-master-0   1/1     Running   0          5s,4,1000m,0.04,256,3,
trainjob-fc40db72-0ded-493e-bbe0-57984fb35b32-master-0   1/1     Running   0          8s,4,1000m,0.04,512,1,
trainjob-0387e4c5-d20a-4853-befd-33edc7e7c46f-master-0   1/1     Running   0          7s,4,1000m,0.04,512,2,
trainjob-e8925f11-0801-46b1-850e-8684f7618cab-master-0   1/1     Running   0          5s,4,1000m,0.04,512,3,
trainjob-38a7c40a-295f-42aa-a98b-71a46a764774-master-0   1/1     Running           0          7s,3,1250m,0.01,128,1,
trainjob-a3018550-1329-4ed5-a749-7caeb1bb26fd-master-0   1/1     Running    0          5s,3,1250m,0.01,128,2,
trainjob-28c0dd9a-3470-4f47-897e-a3f0a7315a00-master-0   1/1     Running   0          6s,3,1250m,0.01,128,3,
trainjob-1c7359d1-88ce-48ec-89cd-abc8e644d6cf-master-0   1/1     Running           0          7s,3,1250m,0.01,256,1,
trainjob-0f5d94a4-cd2b-4c63-822d-bd7b776e37c0-master-0   1/1     Running   0          8s,3,1250m,0.01,256,2,
trainjob-24f27da1-cc5a-4e54-839f-04a07064c67f-master-0   1/1     Running           0          6s,3,1250m,0.01,256,3,
trainjob-1fbc5020-9e42-424a-841c-418f9cfb6017-master-0   1/1     Running           0          7s,3,1250m,0.01,512,1,
trainjob-24b90456-b4c9-4bd6-98b5-18013a918d50-master-0   1/1     Running           0          6s,3,1250m,0.01,512,2,
trainjob-abe1847d-9433-4708-8890-9ba54f6e344a-master-0   1/1     Running   0          6s,3,1250m,0.01,512,3,
trainjob-84eee1ce-9a8f-4464-b764-6fa6c80f77dc-master-0   1/1     Running           0          9s,3,1250m,0.02,128,1,
trainjob-da979331-e06a-4530-adca-41e33f6c3b83-master-0   1/1     Running   0          5s,3,1250m,0.02,128,2,
trainjob-79e3c422-b134-4699-847b-e5863af7e672-master-0   1/1     Running   0          5s,3,1250m,0.02,128,3,
trainjob-40d41e40-5e3c-4d48-be09-86eb0ef59fa6-master-0   1/1     Running           0          6s,3,1250m,0.02,256,1,
trainjob-e8dcb931-ce3c-4e8c-800f-0296f3b1363a-master-0   1/1     Running   0          7s,3,1250m,0.02,256,2,
trainjob-962e951c-ff4f-445b-a95d-c2adea187efa-master-0   1/1     Running   0          5s,3,1250m,0.02,256,3,
trainjob-f74793ef-0289-4297-9e14-395dc8fe8c9b-master-0   1/1     Running           0          7s,3,1250m,0.02,512,1,
trainjob-0a86537b-c433-4436-8b48-791b2396daa2-master-0   1/1     Running   0          6s,3,1250m,0.02,512,2,
trainjob-1a7d64df-ef2d-489a-a696-58c7544bab2d-master-0   1/1     Running   0          6s,3,1250m,0.02,512,3,
trainjob-96c3b221-9d4d-417d-bcdc-d13f83bb5244-master-0   1/1     Running           0          6s,3,1250m,0.04,128,1,
trainjob-1c5c3088-92ac-4b71-8af2-73e02d5aa31b-master-0   1/1     Running   0          5s,3,1250m,0.04,128,2,
trainjob-a7c082d3-7a07-4c71-9147-b990691c5627-master-0   1/1     Running           0          5s,3,1250m,0.04,128,3,
trainjob-c6522f5e-218b-44c5-adf0-0c8eaed08e68-master-0   1/1     Running           0          7s,3,1250m,0.04,256,1,
trainjob-3d71ee50-698c-49da-9a99-e53a77506cb0-master-0   1/1     Running   0          5s,3,1250m,0.04,256,2,
trainjob-cd339b6f-d46a-4fd0-b260-65e8bc4479ca-master-0   1/1     Running   0          5s,3,1250m,0.04,256,3,
trainjob-2cf3269d-70d3-451e-b18d-30c4dd986e3e-master-0   1/1     Running           0          6s,3,1250m,0.04,512,1,
trainjob-39f64e0f-af04-413a-8873-0f5fc2464c25-master-0   1/1     Running   0          5s,3,1250m,0.04,512,2,
trainjob-eebf24d5-7ea8-4458-8404-9d029e60f067-master-0   1/1     Running   0          5s,3,1250m,0.04,512,3,
trainjob-c9b1b86d-35b1-4fb1-9888-e006f003f669-master-0   1/1     Running           0          7s,3,1125m,0.01,128,1,
trainjob-9d5b3219-0534-454a-b31c-6592ab7b2ddd-master-0   1/1     Running           0          6s,3,1125m,0.01,128,2,
trainjob-095bc544-6325-4f7f-8098-7420f58abca9-master-0   1/1     Running   0          6s,3,1125m,0.01,128,3,
trainjob-abebe106-9b72-41a4-a683-76ee1ee4a96e-master-0   1/1     Running           0          6s,3,1125m,0.01,256,1,
trainjob-fdf45448-6798-4943-bb0f-afacc8f82aba-master-0   1/1     Running           0          5s,3,1125m,0.01,256,2,
trainjob-92ed63f8-3aec-4448-9e36-64c5db72c4df-master-0   1/1     Running           0          6s,3,1125m,0.01,256,3,
trainjob-36a8948d-b6f7-42cd-a24a-5e71c7b90124-master-0   1/1     Running           0          7s,3,1125m,0.01,512,1,
trainjob-95a85c31-7b8c-494a-ae2f-a3b2ebf0c42a-master-0   1/1     Running   0          6s,3,1125m,0.01,512,2,
trainjob-bb901610-3e39-4aa6-b8b6-5e03edcb44c9-master-0   1/1     Running   0          5s,3,1125m,0.01,512,3,
trainjob-8ceb4bf6-7591-4c94-8ed5-54a385e344d9-master-0   1/1     Running           0          7s,3,1125m,0.02,128,1,
trainjob-1fb22e68-fc61-4e6e-ac28-5fb371e947e2-master-0   1/1     Running   0          5s,3,1125m,0.02,128,2,
trainjob-301e778c-d33c-44fe-8ad0-273de6b2feb1-master-0   1/1     Running   0          6s,3,1125m,0.02,128,3,
trainjob-262335f3-9455-4f5e-b592-519fe143148c-master-0   1/1     Running           0          7s,3,1125m,0.02,256,1,
trainjob-d98ad370-bfbe-4d43-988d-1e7da692e37b-master-0   1/1     Running           0          6s,3,1125m,0.02,256,2,
trainjob-108f95ba-e74b-4345-8dc7-39de4efd5a2c-master-0   1/1     Running   0          5s,3,1125m,0.02,256,3,
trainjob-a26c30ef-732e-42c0-aee9-5cbd12c80c45-master-0   1/1     Running           0          6s,3,1125m,0.02,512,1,
trainjob-b497cb44-01d3-4163-8795-4ce6adb958a1-master-0   1/1     Running           0          6s,3,1125m,0.02,512,2,
trainjob-8f6beb20-e559-460a-b3a7-018d11ebb7d7-master-0   1/1     Running   0          5s,3,1125m,0.02,512,3,
trainjob-b7cec031-756f-4b50-ad74-e0057b62467d-master-0   1/1     Running           0          7s,3,1125m,0.04,128,1,
trainjob-e8363cef-c230-4fa0-93fd-f90b22445edd-master-0   1/1     Running   0          5s,3,1125m,0.04,128,2,
trainjob-059f92c2-4166-4dcb-8195-54956e85b06f-master-0   1/1     Running   0          5s,3,1125m,0.04,128,3,
trainjob-7f9c8290-d2a0-40ad-8c76-211d02aa09eb-master-0   1/1     Running           0          6s,3,1125m,0.04,256,1,
trainjob-fb71a2c7-cf88-4e48-84a9-56832e001645-master-0   1/1     Running           0          5s,3,1125m,0.04,256,2,
trainjob-64170f49-0aae-4242-b17b-48fd2f26f3ff-master-0   1/1     Running   0          6s,3,1125m,0.04,256,3,
trainjob-e6d2f57f-a834-40e7-9d1f-b02ff17885c1-master-0   1/1     Running           0          6s,3,1125m,0.04,512,1,
trainjob-be5c6a99-bbab-49f7-b6e3-a03733f02a10-master-0   1/1     Running           0          5s,3,1125m,0.04,512,2,
trainjob-26ecfb5b-2c38-4b7a-a2f1-f75dfa2d938f-master-0   1/1     Running           0          6s,3,1125m,0.04,512,3,
trainjob-73837cc2-8de3-4329-b088-590bf1c17fa0-master-0   1/1     Running           0          7s,3,1000m,0.01,128,1,
trainjob-b8db97f9-f291-43b6-8084-01962338b678-master-0   1/1     Running   0          7s,3,1000m,0.01,128,2,
trainjob-082c752f-816a-417b-a80a-fb744088bf22-master-0   1/1     Running   0          6s,3,1000m,0.01,128,3,
trainjob-8b541041-440d-4fc0-ac31-40e48782cab2-master-0   1/1     Running           0          6s,3,1000m,0.01,256,1,
trainjob-77aff00c-d1e8-4bae-a192-2bbe6d0103c8-master-0   1/1     Running   0          8s,3,1000m,0.01,256,2,
trainjob-c3639706-849d-414f-a4fa-66c30ac8acc9-master-0   1/1     Running   0          6s,3,1000m,0.01,256,3,
trainjob-ebaf0840-839f-4ddf-8182-f3b9668df1be-master-0   1/1     Running           0          6s,3,1000m,0.01,512,1,
trainjob-439618a6-7e3b-4f05-8e67-3687ccdc29ac-master-0   1/1     Running    0          5s,3,1000m,0.01,512,2,
trainjob-5fc2a62a-a7ca-4eea-9642-fbba61f65fa9-master-0   1/1     Running   0          5s,3,1000m,0.01,512,3,
trainjob-a0cbcb38-8a1f-422e-b076-d458d49fda22-master-0   1/1     Running           0          6s,3,1000m,0.02,128,1,
trainjob-148304d1-d0b3-4926-a185-d6fd3a77cdad-master-0   1/1     Running   0          6s,3,1000m,0.02,128,2,
trainjob-6ed20b4a-ddcc-44ee-8d1a-2c9c383c013b-master-0   1/1     Running   0          6s,3,1000m,0.02,128,3,
trainjob-77e31c4b-1836-4f50-82d9-9d654811b2d4-master-0   1/1     Running           0          7s,3,1000m,0.02,256,1,
trainjob-06dc8c99-57f2-4902-8f84-cc13c17a35ca-master-0   1/1     Running           0          6s,3,1000m,0.02,256,2,
trainjob-02fe6f56-9bba-48d8-bfc7-8cb16e5e0a70-master-0   1/1     Running   0          6s,3,1000m,0.02,256,3,
trainjob-50606f08-59fa-4b6b-9a31-e87de5114648-master-0   1/1     Running           0          6s,3,1000m,0.02,512,1,
trainjob-be41cbcb-4ca7-4486-aeda-86d9b38e4780-master-0   1/1     Running   0          5s,3,1000m,0.02,512,2,
trainjob-b45eec1d-b250-45d1-8c11-d924aaadb478-master-0   1/1     Running   0          5s,3,1000m,0.02,512,3,
trainjob-8ef8bd50-de08-4341-891b-3a6a16209ceb-master-0   1/1     Running   0          8s,3,1000m,0.04,128,1,
trainjob-db35c789-16bd-4caa-9e1a-3c93e7246653-master-0   1/1     Running   0          6s,3,1000m,0.04,128,2,
trainjob-51ffcfcc-cdcc-46b4-957a-ae09f1d8690e-master-0   1/1     Running           0          5s,3,1000m,0.04,128,3,
trainjob-3049a842-02c6-43fb-a166-f5a95aa97da3-master-0   1/1     Running           0          6s,3,1000m,0.04,256,1,
trainjob-3d4fb6b4-aee3-459b-bf87-74a07efede7b-master-0   1/1     Running   0          6s,3,1000m,0.04,256,2,
trainjob-b1bacceb-7279-4c37-9836-ae02821d0d8f-master-0   1/1     Running   0          5s,3,1000m,0.04,256,3,
trainjob-e2f38182-0b5b-4a0b-b113-ad3ba644f330-master-0   1/1     Running           0          7s,3,1000m,0.04,512,1,
trainjob-84175356-59a7-44a3-b1cd-33c605e208a7-master-0   1/1     Running           0          5s,3,1000m,0.04,512,2,
trainjob-71e720cc-fcba-41f2-bb07-8560f177aac4-master-0   1/1     Running   0          6s,3,1000m,0.04,512,3,
trainjob-ccfcf62c-e23b-4a43-a297-bae7038edebd-master-0   1/1     Running           0          6s,2,1250m,0.01,128,1,
trainjob-141c4ed5-d986-43ee-becd-7f576a01f244-master-0   1/1     Running   0          6s,2,1250m,0.01,128,2,
trainjob-03e62898-83f1-4dde-9813-a260dcff4172-master-0   1/1     Running   0          6s,2,1250m,0.01,128,3,
trainjob-96013387-4ff3-4c46-8dd9-ef24309a70b7-master-0   1/1     Running           0          6s,2,1250m,0.01,256,1,
trainjob-05a6b06a-1c4a-4421-aad1-9b8c8cbbbf47-master-0   1/1     Running           0          7s,2,1250m,0.01,256,2,
trainjob-a4688d5a-ae1e-41ed-8ce8-4c4d2216e6dc-master-0   1/1     Running   0          5s,2,1250m,0.01,256,3,
trainjob-dea21ac4-d945-4ee1-b5d7-cf1fcd1ce2c9-master-0   1/1     Running           0          6s,2,1250m,0.01,512,1,
trainjob-d1ac87c4-84dc-40b0-96b5-3d9965aaa254-master-0   1/1     Running   0          7s,2,1250m,0.01,512,2,
trainjob-32abe9a6-df98-4b35-b499-3aebefe0f5ed-master-0   1/1     Running   0          6s,2,1250m,0.01,512,3,
trainjob-87eb3e02-3602-4992-a400-50eb4de64f94-master-0   1/1     Running           0          6s,2,1250m,0.02,128,1,
trainjob-91eba6d7-b27c-4a02-b67b-a0c0b80685cf-master-0   1/1     Running   0          7s,2,1250m,0.02,128,2,
trainjob-b3ef2c7f-6823-414e-b340-e29d46109109-master-0   1/1     Running   0          5s,2,1250m,0.02,128,3,
trainjob-b6af6e37-6e0c-473d-b92c-5faba2b4f2bd-master-0   1/1     Running   0          9s,2,1250m,0.02,256,1,
