dataParallelism;executorCore;learningRate;batchSize;replication;runningTime;accuracy
2;1000m;0.04;256;2;92.02646295229594;88.06000010172527
2;1000m;0.04;512;2;93.56322455406189;86.17333221435547
2;1125m;0.01;128;2;88.71311736106873;86.25333150227864
2;1125m;0.01;256;2;81.76212120056152;88.05333455403645
2;1125m;0.01;512;2;83.13931186993916;87.56666564941406
2;1125m;0.02;128;2;86.53074288368225;88.13333129882812
2;1125m;0.02;256;2;82.64244476954143;88.45333353678386
2;1125m;0.02;512;2;81.46177283922832;88.22666422526042
2;1125m;0.04;128;2;84.5618987083435;86.76666514078777
2;1125m;0.04;256;2;80.70189929008484;87.22666676839192
2;1125m;0.04;512;2;83.20745364824931;86.66000111897786
2;1250m;0.01;128;2;78.82881355285645;85.94666798909505
2;1250m;0.01;256;2;74.5692568620046;88.25333150227864
2;1250m;0.01;512;2;76.02739302317302;87.67333475748698
2;1250m;0.02;128;2;79.51330669720967;87.57999928792317
2;1250m;0.02;256;2;74.28168980280559;88.17333475748698
2;1250m;0.02;512;2;75.91740886370341;87.57333374023438
2;1250m;0.04;128;2;78.25576821962993;86.67333221435547
2;1250m;0.04;256;2;72.55508494377136;87.9066645304362
2;1250m;0.04;512;2;73.56966733932495;87.13333384195964
3;1000m;0.01;128;2;67.49481232961018;87.50249989827473
3;1000m;0.01;256;2;61.77722295125326;87.5924784342448
3;1000m;0.01;512;2;62.39094297091166;86.66266632080078
3;1000m;0.02;128;2;66.87118609746297;86.7626469930013
3;1000m;0.02;256;2;61.6807595094045;87.73245493570964
3;1000m;0.02;512;2;62.500746965408325;87.07258605957031
3;1000m;0.04;128;2;67.05900867780049;87.10257975260417
3;1000m;0.04;256;2;62.343762159347534;86.46270751953125
3;1000m;0.04;512;2;61.05452299118042;86.03279368082683
3;1125m;0.01;128;2;59.88753318786621;87.32253519694011
3;1125m;0.01;256;2;55.65768082936605;87.54249318440755
3;1125m;0.01;512;2;55.464480797449745;86.4727045694987
3;1125m;0.02;128;2;59.60069767634074;87.26254781087239
3;1125m;0.02;256;2;55.322494427363075;88.03239186604817
3;1125m;0.02;512;2;54.690927823384605;86.75264994303386
3;1125m;0.04;128;2;59.835641940434776;86.34273274739583
3;1125m;0.04;256;2;54.10669151941935;86.7626469930013
3;1125m;0.04;512;2;54.757660706837974;86.04279073079427
3;1250m;0.01;128;2;54.06584882736206;87.16256968180339
3;1250m;0.01;256;2;50.083625634511314;87.60247802734375
3;1250m;0.01;512;2;48.98797512054444;86.25274658203125
3;1250m;0.02;128;2;53.123718897501625;86.68266296386719
3;1250m;0.02;256;2;49.47168262799581;87.91241709391277
3;1250m;0.02;512;2;49.66874400774639;86.77264658610027
3;1250m;0.04;128;2;53.490994135538735;86.89262135823567
3;1250m;0.04;256;2;48.34239053726196;86.84263102213542
3;1250m;0.04;512;2;48.45438019434611;85.3129374186198
4;1000m;0.01;128;2;51.23249753316244;87.93333435058594
4;1000m;0.01;256;2;47.70135649045309;86.3866678873698
4;1000m;0.01;512;2;48.17194493611654;86.52000172932942
4;1000m;0.02;128;2;50.52399333318075;87.73333231608073
4;1000m;0.02;256;2;47.85487302144369;87.39999898274739
4;1000m;0.02;512;2;47.3142835299174;86.69333394368489
4;1000m;0.04;128;2;50.51998543739319;86.26666768391927
4;1000m;0.04;256;2;47.24327254295349;84.41333262125652
4;1000m;0.04;512;2;47.83330877621969;85.21333567301433
4;1125m;0.01;128;2;45.097601095835365;87.3866678873698
4;1125m;0.01;256;2;42.79639999071757;87.02666727701823
4;1125m;0.01;512;2;43.038333813349404;85.42666625976562
4;1125m;0.02;128;2;45.049543698628746;87.68000030517578
4;1125m;0.02;256;2;42.86528563499451;86.58666737874348
4;1125m;0.02;512;2;42.04201086362203;85.98666636149089
4;1125m;0.04;128;2;44.05130545298258;86.64000193277995
4;1125m;0.04;256;2;41.610857009887695;83.77333323160808
4;1125m;0.04;512;2;41.39982477823893;85.03999837239583
4;1250m;0.01;128;2;40.330040534337364;87.85333251953125
4;1250m;0.01;256;2;38.47868967056275;86.92000071207683
4;1250m;0.01;512;2;37.21818741162618;86.06666564941406
4;1250m;0.02;128;2;40.481815894444786;87.5066655476888
4;1250m;0.02;256;2;37.90241559346517;86.5999984741211
4;1250m;0.02;512;2;38.235537687937416;86.95999908447266
4;1250m;0.04;128;2;39.80190769831339;86.55999755859375
4;1250m;0.04;256;2;38.525561571121216;84.46666717529297
4;1250m;0.04;512;2;38.438786347707115;84.45333353678386
