,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time,accuracy
68,trainjob-2cc9e03e-d48b-40c0-8a7e-9cf2626a6703-master-0   1/1     Running   0          6s,4,1000m,0.02,256,3,,47.27691078186035,87.27999877929688
69,trainjob-7190f351-ab9c-478e-86f1-c30759186c04-master-0   1/1     Running           0          7s,4,1000m,0.02,512,1,,48.811225175857544,85.76000213623047
70,trainjob-046b760b-423f-43f0-b4c4-746d30a8b147-master-0   1/1     Running   0          5s,4,1000m,0.02,512,2,,45.527961015701294,87.36000061035156
71,trainjob-615c9aff-aec3-4d25-8cbe-3312731ff560-master-0   1/1     Running           0          5s,4,1000m,0.02,512,3,,47.60366439819336,86.95999908447266
72,trainjob-ea85d503-9881-4e01-9c7a-d1aea0b075d9-master-0   1/1     Running           0          6s,4,1000m,0.04,128,1,,49.97306799888611,86.16000366210938
73,trainjob-c69b9317-de13-405a-ac96-e73fb25489ba-master-0   1/1     Running   0          6s,4,1000m,0.04,128,2,,51.58288073539734,86.23999786376953
74,trainjob-1e607465-2b0c-4519-b6a6-19e8568049cd-master-0   1/1     Running   0          5s,4,1000m,0.04,128,3,,50.00400757789612,86.4000015258789
75,trainjob-f9d9ae6d-0895-40ed-90ee-853dc8a624d7-master-0   1/1     Running           0          7s,4,1000m,0.04,256,1,,47.41136837005615,84.5999984741211
76,trainjob-6fe68b7d-ce11-4c75-8665-ce9b32c31930-master-0   1/1     Running           0          5s,4,1000m,0.04,256,2,,46.90005874633789,84.44000244140625
77,trainjob-ab3e2ae8-14d2-4d05-b952-480480bfbf6b-master-0   1/1     Running   0          5s,4,1000m,0.04,256,3,,47.41839051246643,84.19999694824219
78,trainjob-fc40db72-0ded-493e-bbe0-57984fb35b32-master-0   1/1     Running   0          8s,4,1000m,0.04,512,1,,48.815765619277954,86.04000091552734
79,trainjob-0387e4c5-d20a-4853-befd-33edc7e7c46f-master-0   1/1     Running   0          7s,4,1000m,0.04,512,2,,47.889010190963745,85.16000366210938
80,trainjob-e8925f11-0801-46b1-850e-8684f7618cab-master-0   1/1     Running   0          5s,4,1000m,0.04,512,3,,46.79515051841736,84.44000244140625
81,trainjob-38a7c40a-295f-42aa-a98b-71a46a764774-master-0   1/1     Running           0          7s,3,1250m,0.01,128,1,,54.60270690917969,86.89262390136719
82,trainjob-a3018550-1329-4ed5-a749-7caeb1bb26fd-master-0   1/1     Running    0          5s,3,1250m,0.01,128,2,,52.78736925125122,87.04259490966797
83,trainjob-28c0dd9a-3470-4f47-897e-a3f0a7315a00-master-0   1/1     Running   0          6s,3,1250m,0.01,128,3,,54.80747032165527,87.552490234375
84,trainjob-1c7359d1-88ce-48ec-89cd-abc8e644d6cf-master-0   1/1     Running           0          7s,3,1250m,0.01,256,1,,49.87578725814819,87.94241333007812
85,trainjob-0f5d94a4-cd2b-4c63-822d-bd7b776e37c0-master-0   1/1     Running   0          8s,3,1250m,0.01,256,2,,51.076491355895996,87.19255828857422
86,trainjob-24f27da1-cc5a-4e54-839f-04a07064c67f-master-0   1/1     Running           0          6s,3,1250m,0.01,256,3,,49.298598289489746,87.6724624633789
87,trainjob-1fbc5020-9e42-424a-841c-418f9cfb6017-master-0   1/1     Running           0          7s,3,1250m,0.01,512,1,,48.60896944999695,86.95260620117188
88,trainjob-24b90456-b4c9-4bd6-98b5-18013a918d50-master-0   1/1     Running           0          6s,3,1250m,0.01,512,2,,49.07221293449402,86.14276885986328
89,trainjob-abe1847d-9433-4708-8890-9ba54f6e344a-master-0   1/1     Running   0          6s,3,1250m,0.01,512,3,,49.282742977142334,85.6628646850586
90,trainjob-84eee1ce-9a8f-4464-b764-6fa6c80f77dc-master-0   1/1     Running           0          9s,3,1250m,0.02,128,1,,53.968223094940186,87.52249908447266
91,trainjob-da979331-e06a-4530-adca-41e33f6c3b83-master-0   1/1     Running   0          5s,3,1250m,0.02,128,2,,53.29080772399902,86.5326919555664
92,trainjob-79e3c422-b134-4699-847b-e5863af7e672-master-0   1/1     Running   0          5s,3,1250m,0.02,128,3,,52.112125873565674,85.9927978515625
93,trainjob-40d41e40-5e3c-4d48-be09-86eb0ef59fa6-master-0   1/1     Running           0          6s,3,1250m,0.02,256,1,,49.09726643562317,88.06238555908203
94,trainjob-e8dcb931-ce3c-4e8c-800f-0296f3b1363a-master-0   1/1     Running   0          7s,3,1250m,0.02,256,2,,50.218161821365356,88.03239440917969
95,trainjob-962e951c-ff4f-445b-a95d-c2adea187efa-master-0   1/1     Running   0          5s,3,1250m,0.02,256,3,,49.0996196269989,87.64247131347656
96,trainjob-f74793ef-0289-4297-9e14-395dc8fe8c9b-master-0   1/1     Running           0          7s,3,1250m,0.02,512,1,,49.513357162475586,87.37252807617188
97,trainjob-0a86537b-c433-4436-8b48-791b2396daa2-master-0   1/1     Running   0          6s,3,1250m,0.02,512,2,,48.999738931655884,86.35272979736328
98,trainjob-1a7d64df-ef2d-489a-a696-58c7544bab2d-master-0   1/1     Running   0          6s,3,1250m,0.02,512,3,,50.493135929107666,86.59268188476562
99,trainjob-96c3b221-9d4d-417d-bcdc-d13f83bb5244-master-0   1/1     Running           0          6s,3,1250m,0.04,128,1,,52.6055223941803,86.98260498046875
100,trainjob-1c5c3088-92ac-4b71-8af2-73e02d5aa31b-master-0   1/1     Running   0          5s,3,1250m,0.04,128,2,,53.11606550216675,86.35272979736328
101,trainjob-a7c082d3-7a07-4c71-9147-b990691c5627-master-0   1/1     Running           0          5s,3,1250m,0.04,128,3,,54.751394510269165,87.342529296875
102,trainjob-c6522f5e-218b-44c5-adf0-0c8eaed08e68-master-0   1/1     Running           0          7s,3,1250m,0.04,256,1,,47.98579168319702,86.89262390136719
103,trainjob-3d71ee50-698c-49da-9a99-e53a77506cb0-master-0   1/1     Running   0          5s,3,1250m,0.04,256,2,,48.88189387321472,86.68266296386719
104,trainjob-cd339b6f-d46a-4fd0-b260-65e8bc4479ca-master-0   1/1     Running   0          5s,3,1250m,0.04,256,3,,48.159486055374146,86.95260620117188
105,trainjob-2cf3269d-70d3-451e-b18d-30c4dd986e3e-master-0   1/1     Running           0          6s,3,1250m,0.04,512,1,,48.549553871154785,84.76304626464844
106,trainjob-39f64e0f-af04-413a-8873-0f5fc2464c25-master-0   1/1     Running   0          5s,3,1250m,0.04,512,2,,48.52624011039734,86.14276885986328
107,trainjob-eebf24d5-7ea8-4458-8404-9d029e60f067-master-0   1/1     Running   0          5s,3,1250m,0.04,512,3,,48.287346601486206,85.03299713134766
108,trainjob-c9b1b86d-35b1-4fb1-9888-e006f003f669-master-0   1/1     Running           0          7s,3,1125m,0.01,128,1,,59.3540723323822,87.0125961303711
109,trainjob-9d5b3219-0534-454a-b31c-6592ab7b2ddd-master-0   1/1     Running           0          6s,3,1125m,0.01,128,2,,61.09428143501282,87.97240447998047
110,trainjob-095bc544-6325-4f7f-8098-7420f58abca9-master-0   1/1     Running   0          6s,3,1125m,0.01,128,3,,59.21424579620361,86.98260498046875
111,trainjob-abebe106-9b72-41a4-a683-76ee1ee4a96e-master-0   1/1     Running           0          6s,3,1125m,0.01,256,1,,54.89908766746521,87.64247131347656
